x,custom(x)
-8.72664625997136,1.0
-8.639379797371644,1.0
-8.552113334771928,1.0
-8.464846872172211,1.0
-8.377580409572495,1.0
-8.290313946972779,1.0
-8.203047484373062,1.0
-8.115781021773346,1.0
-8.02851455917363,1.0
-7.941248096573913,1.0
-7.853981633974197,1.0
-7.76671517137448,1.0
-7.679448708774764,1.0
-7.592182246175048,1.0
-7.504915783575331,1.0
-7.417649320975615,1.0
-7.3303828583758985,1.0
-7.243116395776182,1.0
-7.155849933176466,1.0
-7.068583470576749,1.0
-6.981317007977033,1.0
-6.894050545377317,1.0
-6.8067840827776,1.0
-6.719517620177884,1.0
-6.6322511575781675,1.0
-6.544984694978451,1.0
-6.457718232378735,1.0
-6.370451769779018,1.0
-6.283185307179302,1.0
-6.195918844579586,1.0
-6.108652381979869,1.0
-6.021385919380153,1.0
-5.9341194567804365,1.0
-5.84685299418072,1.0
-5.759586531581004,1.0
-5.672320068981287,1.0
-5.585053606381571,1.0
-5.497787143781855,1.0
-5.410520681182138,1.0
-5.323254218582422,1.0
-5.2359877559827055,1.0
-5.148721293382989,1.0
-5.061454830783273,1.0
-4.974188368183556,1.0
-4.88692190558384,1.0
-4.799655442984124,1.0
-4.712388980384407,1.0
-4.625122517784691,1.0
-4.5378560551849745,1.0
-4.450589592585258,1.0
-4.363323129985542,1.0
-4.276056667385825,1.0
-4.188790204786109,1.0
-4.101523742186393,1.0
-4.014257279586676,1.0
-3.92699081698696,1.0
-3.8397243543872435,1.0
-3.752457891787527,1.0
-3.6651914291878107,1.0
-3.5779249665880943,1.0
-3.490658503988378,1.0
-3.4033920413886616,1.0
-3.316125578788945,1.0
-3.228859116189229,1.0
-3.1415926535895125,1.0
-3.054326190989796,1.0
-2.9670597283900797,1.0
-2.8797932657903633,1.0
-2.792526803190647,1.0
-2.7052603405909306,1.0
-2.617993877991214,1.0
-2.530727415391498,1.0
-2.4434609527917814,1.0
-2.356194490192065,1.0
-2.2689280275923487,1.0
-2.1816615649926323,1.0
-2.094395102392916,1.0
-2.0071286397931996,1.0
-1.9198621771934832,1.0
-1.8325957145937668,1.0
-1.7453292519940504,1.0
-1.658062789394334,1.0
-1.5707963267946177,1.0
-1.4835298641949013,1.0
-1.396263401595185,1.0
-1.3089969389954685,1.0
-1.2217304763957522,1.0
-1.1344640137960358,1.0
-1.0471975511963194,1.0
-0.9599310885966029,1.0
-0.8726646259968864,1.0
-0.78539816339717,1.0
-0.6981317007974535,1.0
-0.610865238197737,1.0
-0.5235987755980205,1.0
-0.436332312998304,1.0
-0.3490658503985875,1.0
-0.261799387798871,1.0
-0.17453292519915453,1.0
-0.08726646259943806,1.0
2.7841617900037363E-13,1138162.0234858403
0.08726646259999489,2.2200870380048685
0.17453292519971136,-0.021178443616765057
0.26179938779942785,-0.23155499812416105
0.34906585039914434,-0.2822125289900706
0.4363323129988608,-0.2164217947141936
0.5235987755985773,-0.13278147134303042
0.6108652381982937,-0.06862361139961173
0.6981317007980102,-0.02930293375363919
0.7853981633977267,-0.009440961261526824
0.8726646259974432,-0.0017483877278289997
0.9599310885971597,-4.797307821965111E-5
1.047197551196876,6.926097797283257E-5
1.1344640137965925,0.0013951233883216724
1.2217304763963088,0.0054664259524340375
1.3089969389960252,0.012932282148868336
1.3962634015957416,0.023844948694053705
1.483529864195458,0.03790627681487819
1.5707963267951743,0.0545958050259119
1.6580627893948907,0.07329122104198649
1.745329251994607,0.09336657225745243
1.8325957145943235,0.11419180439870867
1.9198621771940398,0.13520879536668495
2.0071286397937564,0.1559043979885646
2.094395102393473,0.17585388503045385
2.181661564993189,0.1946903624161765
2.2689280275929056,0.21212791529737404
2.356194490192622,0.2279414108394662
2.4434609527923383,0.24196423975316814
2.5307274153920547,0.2540853255138813
2.617993877991771,0.26423894399573794
2.7052603405914875,0.2724006934487361
2.792526803191204,0.27860213847049525
2.87979326579092,0.2828278412376642
2.9670597283906366,0.285178651457755
3.054326190990353,0.28573581490215977
3.1415926535900693,0.28459630848107575
3.2288591161897857,0.28187262211152486
3.316125578789502,0.27767782680477926
3.4033920413892185,0.2721503114297371
3.490658503988935,0.2654141714821812
3.5779249665886512,0.2575912707373576
3.6651914291883676,0.24883546892581723
3.752457891788084,0.239266412672781
3.8397243543878004,0.22899941018991632
3.9269908169875167,0.21818854624907638
4.014257279587233,0.20693850357056226
4.1015237421869495,0.1953648195937215
4.188790204786666,0.18357733591559972
4.276056667386382,0.1716694266603272
4.363323129986099,0.15976120249173448
4.450589592585815,0.147929789587816
4.537856055185531,0.13625853260722207
4.625122517785248,0.12482364095096234
4.712388980384964,0.11368705981628911
4.7996554429846805,0.10292661672253017
4.886921905584397,0.09258747312863798
4.974188368184113,0.08271719003955681
5.06145483078383,0.07335628584964479
5.148721293383546,0.0645338595480813
5.235987755983262,0.05628711346358454
5.323254218582979,0.04862995720167125
5.410520681182695,0.04157622188944869
5.4977871437824115,0.03513345064262751
5.585053606382128,0.029303090311157975
5.672320068981844,0.024079019069647857
5.759586531581561,0.019455062023482676
5.846852994181277,0.015413052280042097
5.934119456780993,0.011932124053082936
6.02138591938071,0.00898630794216362
6.108652381980426,0.006544736569491041
6.1959188445801425,0.0045718476632486986
6.283185307179859,0.003027402590852038
6.370451769779575,0.0018675067643208088
6.457718232379292,0.0010433658700371882
6.544984694979008,5.026198015272649E-4
6.632251157578724,1.891619062675607E-4
6.719517620178441,4.331997042431629E-5
6.806784082778157,2.0314966020433987E-6
6.8940505453778735,-9.868413342648486E-7
6.98131700797759,-3.507507425799047E-5
7.068583470577306,-1.7247036258683318E-4
7.155849933177023,-4.8815591598549854E-4
7.243116395776739,-0.00105971189265372
7.330382858376455,-0.0019671720368211773
7.417649320976172,-0.003305793061622678
7.504915783575888,-0.005136993653460286
7.5921822461756046,-0.007570299137306447
7.679448708775321,-0.010670364955659768
7.766715171375037,-0.014538299464677584
7.853981633974754,-0.01926606616122399
7.94124809657447,-0.024947232705516402
8.028514559174187,-0.03167686178120259
8.115781021773904,-0.039551406363303586
8.20304748437362,-0.048710848053355495
8.290313946973336,-0.05917138739365493
8.377580409573053,-0.07107324128016809
8.46484687217277,-0.08451746376704476
8.552113334772486,-0.09960604172447783
8.639379797372202,-0.11644181314722572
8.726646259971918,-0.1351283890391512
8.813912722571635,-0.1558622497323358
8.901179185171351,-0.17856415821068644
8.988445647771067,-0.2034311753703447
9.075712110370784,-0.23056932022179852
9.1629785729705,-0.2600850451755456
9.250245035570217,-0.29208517613818785
9.337511498169933,-0.32667685539971075
9.42477796076965,-0.3639674871986631
9.512044423369366,-0.4040646858550851
9.599310885969082,-0.4472436000507033
9.686577348568798,-0.493273328213281
9.773843811168515,-0.5424328676410054
9.861110273768231,-0.5948302540897633
9.948376736367948,-0.6505735073254537
10.035643198967664,-0.7097705922021702
10.12290966156738,-0.7725293816934372
10.210176124167097,-0.8389576217896304
10.297442586766813,-0.9091628981782096
10.38470904936653,-0.9832526046267135
10.471975511966246,-1.0615979552885597
10.559241974565962,-1.1437670482577444
10.646508437165679,-1.2301412080245664
10.733774899765395,-1.3208268358945832
10.821041362365111,-1.415930001697829
10.908307824964828,-1.5155564208407482
10.995574287564544,-1.6198114326326807
11.08284075016426,-1.7287999798265876
11.170107212763977,-1.8426265893159683
11.257373675363693,-1.9613953539332352
11.34464013796341,-2.085209915296717
11.431906600563126,-2.2141734476567123
11.519173063162842,-2.3487485099505543
11.606439525762559,-2.4882979144859236
11.693705988362275,-2.6333033325324813
11.780972450961992,-2.783865970257503
11.868238913561708,-2.94008649288637
11.955505376161424,-3.1020650138772474
12.04277183876114,-3.269901084828767
12.130038301360857,-3.443693686083051
12.217304763960573,-3.6235412179891417
12.30457122656029,-3.809541492793211
12.391837689160006,-4.001791727123807
12.479104151759723,-4.200388535042168
12.566370614359439,-4.405427921629321
12.653637076959155,-4.617455407817534
12.740903539558872,-4.835635559408029
12.828170002158588,-5.060543875164218
12.915436464758304,-5.292273877123781
13.00270292735802,-5.530918446838378
13.089969389957737,-5.776569822165705
13.177235852557454,-6.029319594437821
13.26450231515717,-6.289258705984294
13.351768777756886,-6.556477447990445
13.439035240356603,-6.8310654586716515
13.526301702956319,-7.113111721746107
13.613568165556035,-7.402704565189716
13.700834628155752,-7.699931660257156
13.788101090755468,-8.00488002075483
13.875367553355185,-8.317636002552186
13.962634015954901,-8.638769525735293
14.049900478554617,-8.967358076874536
14.137166941154334,-9.304011690397601
14.22443340375405,-9.648814026651605
14.311699866353766,-10.001848083859583
14.398966328953483,-10.36319619951824
14.4862327915532,-10.732940051934234
14.573499254152916,-11.111160661889388
14.660765716752632,-11.497938394424615
14.748032179352348,-11.893352960734521
14.835298641952065,-12.297483420164275
14.922565104551781,-12.710408182301462
15.009831567151497,-13.132205009156584
15.097098029751214,-13.56295101742558
15.18436449235093,-14.002722680829129
15.271630954950647,-14.451595832523598
15.358897417550363,-14.909645667579179
15.44616388015008,-15.377365368987656
15.533430342749796,-15.853948891152752
15.620696805349512,-16.33993428456948
15.707963267949228,-16.8353940435637
15.795229730548945,-17.34040003791697
15.882496193148661,-17.855023516509295
15.969762655748378,-18.37933511094987
16.057029118348094,-18.913404839192694
16.144295580947812,-19.457302109135032
16.23156204354753,-20.011095722195137
16.31882850614725,-20.574853876870154
16.406094968746967,-21.148644172270338
16.493361431346685,-21.732533611631283
16.580627893946403,-22.32658860580247
16.66789435654612,-22.930874976712328
16.75516081914584,-23.54545796081103
16.842427281745557,-24.17040221249081
16.929693744345276,-24.805771807485353
17.016960206944994,-25.451630246249124
17.104226669544712,-26.108271620743718
17.19149313214443,-26.775262336926403
17.278759594744148,-27.452932921768088
17.366026057343866,-28.14134427627928
17.453292519943584,-28.840556756186132
17.540558982543303,-29.550630176040883
17.62782544514302,-30.271623813198865
17.71509190774274,-31.003596411665793
17.802358370342457,-31.746606185816994
17.889624832942175,-32.50071082399224
17.976891295541893,-33.26596749197047
18.06415775814161,-34.04243283632782
18.15142422074133,-34.83016298768575
18.238690683341048,-35.62921356385329
18.325957145940766,-36.439639672871124
18.413223608540484,-37.2614959159631
18.500490071140202,-38.09483639040384
18.58775653373992,-38.93979825126483
18.67502299633964,-39.796246951768644
18.762289458939357,-40.66434331198937
18.849555921539075,-41.54413882313748
18.936822384138793,-42.43568453819155
19.02408884673851,-43.33903107529736
19.11135530933823,-44.25422862065519
19.198621771937947,-45.18132693088078
19.285888234537666,-46.12037533482389
19.373154697137384,-47.071422734833455
19.460421159737102,-48.03451760745098
19.54768762233682,-49.00970800352349
19.63495408493654,-49.99704154771914
19.722220547536256,-50.99656543743469
19.809487010135975,-52.008328502116086
19.896753472735693,-53.03237135399912
19.98401993533541,-54.06874474308509
20.07128639793513,-55.11749333107429
20.158552860534847,-56.202648673610604
20.245819323134565,-57.27560931702706
20.333085785734283,-58.36109280948921
20.420352248334,-59.4591427146723
20.50761871093372,-60.58477400819526
20.594885173533438,-61.70774589273267
20.682151636133156,-62.84341701341542
20.769418098732874,-63.991829215019465
20.856684561332592,-65.15302390823516
20.94395102393231,-66.32704207366129
21.03121748653203,-67.51392426576354
21.118483949131747,-68.7137106168001
21.205750411731465,-69.92644084071371
21.293016874331183,-71.15215423698993
21.3802833369309,-72.39088969448052
21.46754979953062,-73.64268569519182
21.554816262130338,-74.90758031804184
21.642082724730056,-76.18561124257721
21.729349187329774,-77.47681575266267
21.816615649929492,-78.7812307401295
21.90388211252921,-80.09889270839244
21.99114857512893,-81.42983777603337
22.078415037728647,-82.77410168034665
22.165681500328365,-84.1485922875743
22.252947962928083,-85.51919876864045
22.3402144255278,-86.90323557186721
22.42748088812752,-88.30073693904235
22.514747350727237,-89.71173674368698
22.602013813326955,-91.13626849455248
22.689280275926674,-92.57436533908405
22.776546738526392,-94.02606006684914
22.86381320112611,-95.49138511292831
22.951079663725828,-96.97037256127274
23.038346126325546,-98.46305414802677
23.125612588925264,-99.96946126481528
23.212879051524983,-101.48962496199589
23.3001455141247,-103.02357595187804
23.38741197672442,-104.57134461190653
23.474678439324137,-106.13296098781345
23.561944901923855,-107.70845479673251
23.649211364523573,-109.29785543028396
23.73647782712329,-110.90119195762345
23.82374428972301,-112.51849312845991
23.911010752322728,-114.14978737603946
23.998277214922446,-115.81393035186636
24.085543677522164,-117.47282912616346
24.172810140121882,-119.14581281599841
24.2600766027216,-120.83290856647027
24.34734306532132,-122.5341432173118
24.434609527921037,-124.24954330583604
24.521875990520755,-125.97913506984861
24.609142453120473,-127.72294445053026
24.69640891572019,-129.4809970952832
24.78367537831991,-131.2533183605473
24.870941840919627,-133.03993331458335
24.958208303519346,-134.84086674022495
25.045474766119064,-136.65614313759926
25.132741228718782,-138.48578672681506
25.2200076913185,-140.3298214506214
25.307274153918218,-142.18827097703726
25.394540616517936,-144.0611587019471
25.481807079117655,-145.9485077516695
25.569073541717373,-147.85034098549556
25.65634000431709,-149.76668099819818
25.74360646691681,-151.69755012251215
25.830872929516527,-153.64297043158678
25.918139392116245,-155.60296374140884
26.005405854715963,-157.5985052513466
26.09267231731568,-159.58717132203552
26.1799387799154,-161.59048481058585
26.267205242515118,-163.6084664263158
26.354471705114836,-165.64113663068136
26.441738167714554,-167.6885156396777
26.529004630314272,-169.75062342621982
26.61627109291399,-171.82747972249038
26.70353755551371,-173.91910402225824
26.790804018113427,-176.02551558317035
26.878070480713145,-178.14673342901924
26.965336943312863,-180.28277635197588
27.05260340591258,-182.433662914806
27.1398698685123,-184.59941145304688
27.227136331112018,-186.78004007717115
27.314402793711736,-188.9755666747152
27.401669256311454,-191.1860089123852
27.488935718911172,-193.41138423813925
27.57620218151089,-195.65170988324283
27.66346864411061,-197.90700286429816
27.750735106710327,-200.17727998525467
27.838001569310045,-202.4625578393891
27.925268031909763,-204.7628528112647
28.01253449450948,-207.0781810786717
28.0998009571092,-209.40855861453207
28.187067419708917,-211.75400118879978
28.274333882308635,-214.11452437031897
28.361600344908354,-216.49014352867883
28.44886680750807,-218.90249991058582
28.53613327010779,-221.30777119141274
28.623399732707508,-223.7281958247032
28.710666195307226,-226.16378823962387
28.797932657906944,-228.61456267394377
28.885199120506662,-231.0805331758806
28.97246558310638,-233.56171360592168
29.0597320457061,-236.0581176386237
29.146998508305817,-238.56975876439097
29.234264970905535,-241.09665029122917
29.321531433505253,-243.63880534647683
29.40879789610497,-246.19623687851745
29.49606435870469,-248.76895765847067
29.583330821304408,-251.35698028185942
29.670597283904126,-253.96031717025568
29.757863746503844,-256.57898057291374
29.845130209103562,-259.2129825683698
29.93239667170328,-261.8623350660354
30.019663134303,-264.52704980776576
30.106929596902717,-267.2071383694017
30.194196059502435,-269.90261216230545
30.281462522102153,-272.61348243487026
30.36872898470187,-275.3397602740105
30.45599544730159,-278.0814566066387
30.543261909901307,-280.8385822011182
30.630528372501026,-283.6111476687062
30.717794835100744,-286.3991634649723
30.805061297700462,-289.20263989120406
30.89232776030018,-292.02158709579294
30.979594222899898,-294.856015075606
31.066860685499616,-297.7059336773418
31.154127148099334,-300.59321400319345
31.241393610699053,-303.4735153858846
31.32866007329877,-306.36935048690106
