x,sec(x)
-18.587756533739363,1.0352766258445154
-18.500490071139644,1.0641786328212643
-18.413223608539926,1.1033795646927997
-18.325957145940208,1.1547036673495668
-18.23869068334049,1.2207744535476994
-18.151424220740772,1.3054070112785057
-18.064157758141054,1.414212988407252
-17.976891295541336,1.5557226301899783
-17.889624832941617,1.7434442555703762
-17.8023583703419,1.9999944508538987
-17.71509190774218,2.3662019262042144
-17.627825445142463,2.923805297493037
-17.540558982542745,3.8637059453197073
-17.453292519943027,5.758780211731051
-17.36602605734331,11.473711515370548
-17.27875959474359,-3.684034466499993E12
-17.191493132143872,-11.473711515299307
-17.104226669544154,-5.758780211713301
-17.016960206944436,-3.8637059453118696
-16.929693744344718,-2.9238052974886566
-16.842427281745,-2.3662019262014655
-16.75516081914528,-1.99999445085201
-16.667894356545563,-1.7434442555690262
-16.580627893945845,-1.5557226301889675
-16.493361431346127,-1.4142129884064858
-16.40609496874641,-1.3054070112779086
-16.31882850614669,-1.2207744535472362
-16.231562043546973,-1.154703667349203
-16.144295580947254,-1.1033795646925209
-16.057029118347536,-1.0641786328210532
-15.96976265574782,-1.0352766258443655
-15.882496193148103,-1.0154268394728525
-15.795229730548387,-1.0038199518781818
-15.70796326794867,-1.0000000562589522
-15.620696805348954,-1.0038179307302095
-15.533430342749238,-1.015425608724286
-15.446163880149522,-1.0352756669296572
-15.358897417549805,-1.064177518111643
-15.271630954950089,-1.1033777977870936
-15.184364492350372,-1.154700483292327
-15.097098029750656,-1.220774565091927
-15.00983156715094,-1.3054086581749496
-14.922565104551223,-1.4142141855965245
-14.835298641951507,-1.5557240884477146
-14.74803217935179,-1.743446894497821
-14.660765716752074,-2.0000000325249245
-14.573499254152358,-2.366201591983678
-14.486232791552641,-2.92380440197603
-14.398966328952925,-3.8637030557331937
-14.311699866353209,-5.758770450705294
-14.224433403753492,-11.473713244701692
-14.137166941153776,3.411817899523103E12
-14.04990047855406,11.473713244624815
-13.962634015954343,5.758770450686149
-13.875367553354627,3.86370305572474
-13.78810109075491,2.9238044019713207
-13.700834628155194,2.3662015919807033
-13.613568165555478,2.000000032522894
-13.526301702955761,1.7434468944963615
-13.439035240356045,1.5557240884466277
-13.351768777756329,1.4142141855956953
-13.264502315156612,1.3054086581743072
-13.177235852556896,1.2207745650914261
-13.08996938995718,1.154700483291936
-13.002702927357463,1.1033777977867918
-12.915436464757747,1.0641775181114157
-12.82817000215803,1.0352756669294947
-12.740903539558314,1.0154256087241813
-12.653637076958598,1.0038179307301582
-12.566370614358881,1.0000000562589524
-12.479104151759165,1.0038199518782334
-12.391837689159448,1.0154268394729575
-12.304571226559732,1.0352766258445283
-12.217304763960016,1.0641786328212803
-12.1300383013603,1.1033795646928215
-12.042771838760583,1.1547036673495914
-11.955505376160867,1.220774453547733
-11.86823891356115,1.3054070112785425
-11.780972450961434,1.414212988407302
-11.693705988361717,1.5557226301900342
-11.606439525762001,1.7434442555704555
-11.519173063162285,1.9999944508539902
-11.431906600562568,2.3662019262043583
-11.344640137962852,2.923805297493223
-11.257373675363135,3.8637059453200404
-11.17010721276342,5.7587802117317635
-11.082840750163703,11.47371151537318
-10.995574287563986,-3.4458758138337456E12
-10.90830782496427,-11.473711515297186
-10.821041362364554,-5.758780211712834
-10.733774899764837,-3.863705945311687
-10.64650843716512,-2.9238052974885718
-10.559241974565404,-2.3662019262014207
-10.471975511965688,-1.9999944508519856
-10.384709049365972,-1.7434442555690142
-10.297442586766255,-1.5557226301889608
-10.210176124166539,-1.414212988406483
-10.122909661566823,-1.3054070112779086
-10.035643198967106,-1.2207744535472378
-9.94837673636739,-1.1547036673492055
-9.861110273767673,-1.1033795646925237
-9.773843811167957,-1.0641786328210556
-9.68657734856824,-1.0352766258443675
-9.599310885968524,-1.0154268394728538
-9.512044423368808,-1.0038199518781823
-9.424777960769092,-1.0000000562589522
-9.337511498169375,-1.0038179307302089
-9.250245035569659,-1.0154256087242848
-9.162978572969942,-1.0352756669296552
-9.075712110370226,-1.0641775181116402
-8.98844564777051,-1.1033777977870898
-8.901179185170793,-1.1547004832923222
-8.813912722571077,-1.220774565091921
-8.72664625997136,-1.3054086581749416
-8.639379797371644,-1.4142141855965142
-8.552113334771928,-1.5557240884477015
-8.464846872172211,-1.7434468944978032
-8.377580409572495,-2.0000000325249
-8.290313946972779,-2.3662015919836414
-8.203047484373062,-2.923804401975973
-8.115781021773346,-3.8637030557330907
-8.02851455917363,-5.758770450705062
-7.941248096573913,-11.47371324470076
-7.853981633974197,3.4965835616230557E12
-7.76671517137448,11.473713244625747
-7.679448708774764,5.758770450686381
-7.592182246175048,3.863703055724843
-7.504915783575331,2.923804401971378
-7.417649320975615,2.3662015919807398
-7.3303828583758985,2.000000032522919
-7.243116395776182,1.743446894496379
-7.155849933176466,1.555724088446641
-7.068583470576749,1.4142141855957053
-6.981317007977033,1.3054086581743152
-6.894050545377317,1.220774565091432
-6.8067840827776,1.1547004832919407
-6.719517620177884,1.1033777977867956
-6.6322511575781675,1.0641775181114186
-6.544984694978451,1.0352756669294965
-6.457718232378735,1.0154256087241824
-6.370451769779018,1.003817930730159
-6.283185307179302,1.0000000562589524
-6.195918844579586,1.0038199518782327
-6.108652381979869,1.0154268394729564
-6.021385919380153,1.0352766258445265
-5.9341194567804365,1.0641786328212777
-5.84685299418072,1.103379564692818
-5.759586531581004,1.1547036673495867
-5.672320068981287,1.2207744535477267
-5.585053606381571,1.3054070112785348
-5.497787143781855,1.4142129884072914
-5.410520681182138,1.5557226301900204
-5.323254218582422,1.743444255570437
-5.2359877559827055,1.9999944508539653
-5.148721293382989,2.3662019262043237
-5.061454830783273,2.9238052974931694
-4.974188368183556,3.8637059453199343
